时间,标题,链接
1743415382,祝贺！新增4项,http://mp.weixin.qq.com/s?__biz=MzAxODAzMjQ1NQ==&mid=2707698390&idx=1&sn=718dc9411eca02b4b4c3b892fba42477&chksm=bf4ce0fe883b69e89ab10a3d92ab3b33213ef2d56c1928c57c4e1cbedee2e62d47d1f8433243#rd
1743333839,“大海捞针”！视频理解大模型InternVideo2.5发布,http://mp.weixin.qq.com/s?__biz=MzAxODAzMjQ1NQ==&mid=2707698349&idx=1&sn=83ba79fdeaa76a80a79b6b78b10b94a3&chksm=bf4ce085883b699378b9a42e87051ab9d9847a3141468aca0c3ccdb48d374ed9204a27df2d8e#rd
1743230219,开赛！“华为杯”第八届中国研究生创“芯”大赛参赛邀请函,http://mp.weixin.qq.com/s?__biz=MzAxODAzMjQ1NQ==&mid=2707698297&idx=1&sn=cfc96755eb3ac2c792ad809e5efab5c6&chksm=bf4ce051883b6947e17774b3404298e2dcfac09cbcbc5a59526071598191f5607bc5933b8a62#rd
1743172036,教育强国建设三年行动计划综合改革试点部署推进会召开 谈哲敏校长作为高校代表发言,http://mp.weixin.qq.com/s?__biz=MzAxODAzMjQ1NQ==&mid=2707698277&idx=1&sn=49119f780d5b5a042ee416f4e7dc4150&chksm=bf4ce04d883b695bb78b4ec4d9bbd5c4af4c7a5f86df5931f4b79d4f90f16d55d4b403da23bf#rd
1743146305,南大⇋扬州：校地携手 新材启航！,http://mp.weixin.qq.com/s?__biz=MzAxODAzMjQ1NQ==&mid=2707698188&idx=1&sn=56791a52277302cf2ee5f9d57ce24547&chksm=bf4ce024883b69325508aed98032b14d171e6d712947005a2b67516f6a9f7bd2e803a8b2654c#rd
1743047320,重磅！南大两项成果入选2024年度“中国科学十大进展”,http://mp.weixin.qq.com/s?__biz=MzAxODAzMjQ1NQ==&mid=2707698022&idx=1&sn=a43a3ad77f0af5f824f8fc42e527be28&chksm=bf4ce34e883b6a58fe85d0936ee2d4d2bb74bd6f16376824ca6382c33bc3e469eb559b128bbc#rd
1742989911,谈哲敏校长在苏州校区、苏州研究生院调研推进工作,http://mp.weixin.qq.com/s?__biz=MzAxODAzMjQ1NQ==&mid=2707697995&idx=1&sn=2fb2e6b96872da6b5b02f9fe04ae8f56&chksm=bf4ce363883b6a7598286d33ad74e59a9948e87fc95b12922df93eaaa8b277ba3f5ad0b6b77d#rd
1742913341,谭铁牛书记一行赴中国建材集团、国家电网有限公司调研座谈,http://mp.weixin.qq.com/s?__biz=MzAxODAzMjQ1NQ==&mid=2707697859&idx=1&sn=1dbc55ef5674804371a6a7500d6d6215&chksm=bf4ce2eb883b6bfde1ddd9669c3cbe0e3c4c23ba82bd6f63440ce5d98540f001d7f10b178c18#rd
1742880763,《光明日报》聚焦南大红色教育家 | 匡亚明：是老革命，亦大学者,http://mp.weixin.qq.com/s?__biz=MzAxODAzMjQ1NQ==&mid=2707697781&idx=1&sn=9116ca9cfa07686ce3dbc1f842f83a49&chksm=bf4ce25d883b6b4b5dfa1539935cac79b5f65ad99da2f774c677e523e60b1877b61600ca802f#rd
1742816711,长江文明溯源研究学术研讨会在南京大学举行,http://mp.weixin.qq.com/s?__biz=MzAxODAzMjQ1NQ==&mid=2707697752&idx=1&sn=fe32db75c620c0b76b8b9dcfa789c9fe&chksm=bf4ce270883b6b66f8d226c7ec7926e37fa1deb9c32da19f3d762004590b7852dd0b7c74bf7a#rd
1742789317,全新赛道！原子级制造驱动未来产业,http://mp.weixin.qq.com/s?__biz=MzAxODAzMjQ1NQ==&mid=2707697671&idx=1&sn=e0e75c50a6277ac0d256493e031255fb&chksm=bf4ce22f883b6b393935ffdae0d0769db083e69cba9d767fe6746a697aebd05d6d22098caa33#rd
1742736335,在南大上课，这几个学习“门派”你听说过吗？,http://mp.weixin.qq.com/s?__biz=MzAxODAzMjQ1NQ==&mid=2707697651&idx=1&sn=494d55adcbd4fb19b00084fe8665be6c&chksm=bf4cfddb883b74cd562671c61a35fc96de55e803b53c23239dcf7a76ba71b093d1abe87a9fd4#rd
1742653808,南京大学第七届校友代表大会第二次会议暨校友总会第七届理事会第二次会议召开,http://mp.weixin.qq.com/s?__biz=MzAxODAzMjQ1NQ==&mid=2707697346&idx=1&sn=f03e77f02125ee38370b9d0a9a927960&chksm=bf4cfcea883b75fc5ba692634353ba72571031209ad18e3df4e04b3c2f3adff95c239c97d1af#rd
1742567244,黄金四分钟！南大学子再次紧急救人,http://mp.weixin.qq.com/s?__biz=MzAxODAzMjQ1NQ==&mid=2707697306&idx=1&sn=9df569b55952d1a77580234e66bafc54&chksm=bf4cfcb2883b75a4e7b034e5c4fe5129d352575efae3f84bf3c976099c0c6cb0f4f19882e183#rd
1742555054,南京大学党的建设工作领导小组（扩大）会议召开 校党委研究部署深入贯彻中央八项规定精神学习教育工作,http://mp.weixin.qq.com/s?__biz=MzAxODAzMjQ1NQ==&mid=2707697259&idx=1&sn=fe21ed823bf1befaf11c178e6dc05061&chksm=bf4cfc43883b7555bcd0cbc11464bcfc0d8ff78c1f7d238435802858bfdca0928a7b06cf1b8c#rd
1742481860,南京大学召开2025年全面从严治党工作会议,http://mp.weixin.qq.com/s?__biz=MzAxODAzMjQ1NQ==&mid=2707697187&idx=1&sn=17dd2a4d6dc938984616c5090aa7ff38&chksm=bf4cfc0b883b751dd5c5b53d90412db4a02baf7d18ae48ebc8928e98babf2e2c6a3af678a4ad#rd
1742464696,最新突破！请查收南大最新科技动态,http://mp.weixin.qq.com/s?__biz=MzAxODAzMjQ1NQ==&mid=2707697154&idx=1&sn=75d5532e612ecc055e164536dec1f7d7&chksm=bf4cfc2a883b753c4016879d1857aedf4e757060edb87e878901ebe07b277750dccde0c25c36#rd
1742392979,来南大赏梅，这篇必看！,http://mp.weixin.qq.com/s?__biz=MzAxODAzMjQ1NQ==&mid=2707697150&idx=1&sn=b69228809d157755658526eecb153a72&chksm=bf4cffd6883b76c09cc8f074a6a30f0bffd779a490cfb2745b05e55139ff7f77f493150fc8e2#rd
1742357970,“学校会是你永远的后盾和依靠。”真的很温暖！,http://mp.weixin.qq.com/s?__biz=MzAxODAzMjQ1NQ==&mid=2707697131&idx=1&sn=2e8429b00d2981a8ab86af33e01d2090&chksm=bf4cffc3883b76d5826ac787fb3e35a022c2f017ac0cb66b95daa649ed43cfee34a7d07a1f19#rd
1742309390,我校赵光锐副教授在《中国社会科学》发文探讨国际关系视野下的区域知识及其生产,http://mp.weixin.qq.com/s?__biz=MzAxODAzMjQ1NQ==&mid=2707697084&idx=1&sn=159c434235bc8a99732f8d0f38f509d3&chksm=bf4cff94883b7682859f89e2242b2daf08167dac156901953bb0e87edf5d556c8bf2ae060d6b#rd
1742262334,文科如何“智能＋”？南京大学新探索！,http://mp.weixin.qq.com/s?__biz=MzAxODAzMjQ1NQ==&mid=2707696975&idx=1&sn=2e99bfb9055a3907ddae42bb20f5374b&chksm=bf4cff67883b76718b89f4381cf85c43af355d7e42f5b14ab27f6403dff74da3f86e48377924#rd
1742207133,南大⇋苏州：融合发展 共创一流,http://mp.weixin.qq.com/s?__biz=MzAxODAzMjQ1NQ==&mid=2707696859&idx=1&sn=240c9de9d458e4f3005e1d5bbf53e739&chksm=bf4cfef3883b77e578118bd2cfb6f7e70a6657556f2337663eaaa0f6c59e0b96014f03496478#rd
1742137309,跨界+机遇！苏州校区未来这样发展！,http://mp.weixin.qq.com/s?__biz=MzAxODAzMjQ1NQ==&mid=2707696732&idx=1&sn=5d335bc56fdc5a78e72648cbed39cd53&chksm=bf4cfe74883b776292456f35771f0d36c05394f648dca3bfcf0f9bd5e2ee7eea17094ee3ff25#rd
1742051195,硬核！南大 → 新工科,http://mp.weixin.qq.com/s?__biz=MzAxODAzMjQ1NQ==&mid=2707696629&idx=1&sn=9787e20407574212750f188be759335d&chksm=bf4cf9dd883b70cbc5f4b77f817dba4607688820440dd37482d01a0b41d064d7268bf2e66014#rd
1741967402,第一时间！把全国两会声音带回南大,http://mp.weixin.qq.com/s?__biz=MzAxODAzMjQ1NQ==&mid=2707696618&idx=1&sn=9d65010c1586a82d60a28fec51ac119c&chksm=bf4cf9c2883b70d4fb7128759ede3750a68416e5616f515705b395ef150b15ed3d2387a077e3#rd
